"","PER2020f1","facto1","PER2020m1","factor2"
"1",1.96384,0.04,1.9791825,0.04
"2",0.1308625,0.04,0.1254475,0.04
"3",0.11191,0.04,0.1083,0.04
"4",0.09386,0.04,0.0929575,0.04
"5",0.0785175,0.04,0.07942,0.04
"6",0.0658825,0.04,0.06859,0.04
"7",0.0568575,0.04,0.0604675,0.04
"8",0.0514425,0.04,0.055955,0.04
"9",0.0478325,0.0395211814285857,0.0532475,0.04
"10",0.0478325,0.0390770267226029,0.0532475,0.04
"11",0.048735,0.0388322871023783,0.055955,0.04
"12",0.048735,0.0388322871023783,0.055955,0.04
"13",0.052345,0.0387131330277689,0.06137,0.04
"14",0.05776,0.0386363456799432,0.0694925,0.04
"15",0.063175,0.0385335953386767,0.0821275,0.04
"16",0.0694925,0.0383664510780334,0.09747,0.04
"17",0.0767125,0.0381292956451495,0.11552,0.04
"18",0.0839325,0.0378424731617658,0.135375,0.04
"19",0.092055,0.0375410830373766,0.1579375,0.04
"20",0.0983725,0.0372641490241249,0.1805,0.04
"21",0.102885,0.037045680684553,0.2012575,0.04
"22",0.106495,0.0369075145466148,0.2193075,0.04
"23",0.1092025,0.0368544619818603,0.232845,0.04
"24",0.1110075,0.0368733843105707,0.243675,0.04
"25",0.113715,0.0369371458736739,0.250895,0.04
"26",0.1164225,0.037012659038601,0.25631,0.04
"27",0.1200325,0.0370703150361071,0.261725,0.04
"28",0.124545,0.0370910761697828,0.2680425,0.04
"29",0.1308625,0.0370684616191378,0.27436,0.04
"30",0.1380825,0.0370044850258563,0.283385,0.04
"31",0.1471075,0.0369010014031911,0.294215,0.04
"32",0.1579375,0.0367504013865651,0.30685,0.04
"33",0.16967,0.0365308164110482,0.3221925,0.04
"34",0.18411,0.036209623807149,0.33934,0.04
"35",0.2012575,0.0357545903366294,0.359195,0.04
"36",0.222015,0.0351476207587833,0.3835625,0.04
"37",0.2463825,0.0343947224830791,0.4124425,0.04
"38",0.27436,0.0335280145334027,0.44764,0.04
"39",0.30685,0.032599267010361,0.49096,0.04
"40",0.34295,0.031667219354814,0.54511,0.04
"41",0.3835625,0.0307823973234209,0.61009,0.04
"42",0.4286875,0.0299738520264008,0.687705,0.04
"43",0.48013,0.0292416779043742,0.7770525,0.0391872789497549
"44",0.53789,0.0285577320019074,0.88084,0.038247101358196
"45",0.601065,0.0278744878668512,0.9972625,0.0371642438465331
"46",0.67146,0.0271392201682804,1.1290275,0.0359182408505435
"47",0.74727,0.0263089906031945,1.2752325,0.0344958495520197
"48",0.828495,0.0253622067243077,1.43678,0.0328983670992405
"49",0.91694,0.0243045003581582,1.61367,0.0311620356351192
"50",1.0108,0.0231687231563292,1.8077075,0.0293863197438399
"51",1.110075,0.0220100109582678,2.0170875,0.0276946952364594
"52",1.214765,0.0208972619973776,2.243615,0.026182141992445
"53",1.323065,0.0199024616684398,2.4863875,0.0249180817421154
"54",1.4358775,0.0190894561374885,2.745405,0.0239401036850932
"55",1.5513975,0.0185043023044024,3.0188625,0.0232420521112018
"56",1.6687225,0.018169343561891,3.3076625,0.0227714177553196
"57",1.7878525,0.0180822724272878,3.61,0.022453436493756
"58",1.9069825,0.0182200161538258,3.9231675,0.0222164074798684
"59",2.0243075,0.0185460388705992,4.243555,0.0220193157729633
"60",2.1398275,0.0190191350381252,4.564845,0.0218430893955508
"61",2.25264,0.0196017376148829,4.88794,0.0216898351325765
"62",2.27157449007805,0.0202659782880584,5.2144926265484,0.0215817423669496
"63",2.71927368104668,0.0209962371507025,5.96396507613806,0.0215527204525024
"64",3.17772467594118,0.021787804747391,6.70262013132709,0.0216339113931632
"65",3.61234230361921,0.0226423949096944,7.42579613539781,0.021839272510743
"66",3.99201709095167,0.0235620400121488,8.09197712360032,0.022177248103116
"67",4.32665780480942,0.0245431824129857,8.67510840735497,0.0226315959953438
"68",4.6598644513095,0.0254727080330948,9.17852007140683,0.0230654290365969
"69",5.04948917170993,0.0264270655099091,9.6478746156609,0.0235317674212805
"70",5.50798748309539,0.0273744803241368,10.1498103786727,0.0239827929948465
"71",6.05155129441294,0.0281792239572375,10.7546091824903,0.0242880945497656
"72",6.66994967912647,0.028906337276231,11.5932733425373,0.0245149468456567
"73",7.38395439483262,0.0296252814270259,12.765520762681,0.0247409437008763
"74",8.25707682345116,0.0300116358487644,14.3480039722922,0.0246659983873394
"75",9.32729862103181,0.0303468286063502,16.3557656287218,0.024598126602263
"76",10.6180372747174,0.0305166484266055,18.7448529165462,0.0244515892485744
"77",12.1793353065223,0.0305095619867302,21.5049995528799,0.024238863926935
"78",14.0724784983796,0.0302157473934023,24.6617510330258,0.0238645771253844
"79",16.3403785554677,0.0298273829250049,28.3317175570114,0.0235233117936083
"80",18.9975941102094,0.0292401323820611,32.6118558484663,0.0230994400061202
"81",22.1012454163914,0.028455262612436,37.568048964608,0.0225728372564484
"82",25.6579836231315,0.0275816125841852,43.1255120591111,0.0220242271557862
"83",29.761793783299,0.0264366169236985,49.2942808058314,0.0212354882165834
"84",34.4329166437751,0.025345850515601,56.0478078879588,0.0205044631159198
"85",39.7891274174022,0.0240410281280843,63.3272127451842,0.0195445605176198
"86",45.7625266287838,0.0227569576484417,71.0165177391749,0.0185819276935428
"87",52.9692150261649,0.0213164682557308,79.6026995117583,0.0174705035753681
"88",60.771449119723,0.019865444007649,88.3000935970465,0.0163365759393115
"89",68.92193961454,0.0184363478707919,96.9412679141936,0.0152064538761563
"90",77.3758418459287,0.0170542918626501,105.354014352746,0.014096020381726
"91",86.1674883261495,0.015736883049796,113.386301223575,0.0130200600250627
"92",95.1425454110543,0.014394366268638,120.981925358086,0.0118897482665586
"93",104.053312772368,0.0130132686337942,129.471684791794,0.0106909530054414
"94",112.944730619743,0.0117070994466911,139.4897887,0.00953764248316007
"95",124.725838685623,0.0104677188508323,151.890226790515,0.00842963587709046
"96",136.919350303276,0.00928406509098226,164.626449795704,0.00737009702466645
"97",149.550822546401,0.00814455469522341,177.996825929776,0.00635862318149986
"98",163.148105167747,0.00703925027555044,192.425796463268,0.00558134142838811
"99",176.712037179826,0.00604416538605619,206.939690479499,0.00488134142838811
"100",191.290342387423,0.00534416538605619,222.599126772679,0.00418134142838811
"101",206.995657640264,0.00464416538605619,239.538928531472,0.00348134142838811
"102",223.957201687646,0.00414416538605619,257.914854711293,0.00298134142838811
"103",242.323719436872,0.00364416538605619,277.907462707418,0.00248134142838811
"104",262.266985659854,0.00314416538605619,299.726693773291,0.00198134142838811
"105",283.985947060831,0.00264416538605619,323.617242444893,0.00148134142838811
"106",307.711557139113,0.00214416538605619,349.864683937501,0.000981341428388106
"107",333.712288209593,0.00164416538605619,378.80212512226,0.000481341428388106
"108",362.300140231485,0.00114416538605619,410.816683243332,0
"109",393.836607179453,0.000644165386056187,446.354105238968,0
"110",428.737304070374,0.000144165386056187,485.917729358515,0
"111",467.472374766302,0,530.0534780305,0
"112",510.55648616832,0,579.302823547886,0
"113",558.515210609551,0,634.084367574907,0
"114",611.799627653947,0,694.417984042064,0
"115",670.588768923756,0,759.306247238515,0
"116",734.35132239805,0,825.408790260726,0
"117",800.906586468504,0,884.579933461063,0
"118",864.57444467792,0,922.010379209327,0
"119",935,0,930,0
"120",1000,0,1000,0
"121",1000,0,1000,0
